pool_name,community_address,measurement_date,measurement_employee,ph,turbidity,free_chlorine,unnamed_separator_1,sunscreen_overuse,ph_pump_flow_rate,hypochlorite_pump_flow_rate,motor_pump_flow_rate,filter_diameter,number_of_filters,number_of_motors,heated_pool,community_pool,skimmer_pool,overflow_pool,outdoor_pool,oval_pool,private_pool,public_pool,rectangular_pool_0714,rectangular_pool_07,round_pool,pool_surface_area,contaminating_vegetation,pool_volume,deck_grass_area,deck_mixed_area,deck_paved_area,unnamed_separator_2,maintenance_employee,maintenance_date,ph_dosing_hours,daily_filtration_hours,ph_dosing_percentage,filter_wash_rinse_time,hypo_dosing_hours,hypo_dosing_percentage,water_temperature,unnamed_separator_3,chemical_dosing_employee,chemical_dosing_date,chemical_t500_qp,chemical_alboral_tablets_250g,chemical_flovil_tablets,chemical_hypo_carboys_20kg,chemical_hypo_gr_chloryte,chemical_hypo_granules_xaka,chemical_hypo_sticks_bayrol,chemical_hypo_tabs_ritocal,chemical_hypo_tablets_200g_qp,chemical_hypo_tablets_xaka,chemical_ph_minus_granules_6kg,chemical_ph_minus_liquid_13_5kg,chemical_ph_minus_liquid_27kg,chemical_protect_and_shine,chemical_sg_xaka_agonet_gr90,chemical_superklar
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",06-10-2023 12:31,Carlos Martinez Moreno ,7.3,0.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Martinez Moreno ,09-11-2023,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",10-10-2023 10:46,Carlos Martinez Moreno ,7.5,0.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Martinez Moreno ,09-11-2023,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",16-10-2023 12:33,Carlos Martinez Moreno ,7.4,0.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",25-10-2023 11:15,Miguel Aracil Carbonell,7.5,0.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",30-10-2023 12:26,Carlos Martinez Moreno ,7.3,0.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",09-11-2023 12:50,Carlos Martinez Moreno ,7.2,0.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",14-11-2023 13:04,Carlos Martinez Moreno ,7.5,0.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",22-11-2023 12:41,Carlos Martinez Moreno ,7.4,0.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",27-11-2023 09:58,Carlos Martinez Moreno ,7.3,0.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",05-12-2023 12:24,Carlos Martinez Moreno ,7.4,0.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",12-12-2023 13:31,Carlos Martinez Moreno ,7.2,0.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",18-12-2023 13:32,Carlos Martinez Moreno ,7.4,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Castilla (457),"Avenida Cataluña,2 Playa San Juan,Alicante",26-12-2023 13:06,Carlos Martinez Moreno ,7.3,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",05-01-2023 09:15,Abel Melquiades Fernández,7.4,0.8,5.0,,,,,21.6,750.0,,,,,,,,,,,,,,135.0,,200.0,,,,,Miguel Aracil Carbonell,22-06-2023,,,,,,,28.3,,Abel Melquiades Fernández,11-01-2023,,,,,,1.0,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",05-01-2023 09:16,Abel Melquiades Fernández,7.4,0.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-06-2023,,,,,6.0,,,,Miguel Aracil Carbonell,23-01-2023,,,,,,,,,,,,,,,0.4,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",11-01-2023 11:30,Abel Melquiades Fernández,7.4,0.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-06-2023,,,,,,5.0,,,Miguel Aracil Carbonell,30-01-2023,,,,,,,,,,,,,,,0.4,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",18-01-2023 11:10,Abel Melquiades Fernández,7.2,0.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-06-2023,,12.0,,,,,,,Miguel Aracil Carbonell,06-02-2023,,,,,,,,,,,,,,,0.4,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",23-01-2023 13:38,Miguel Aracil Carbonell,7.4,0.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-07-2023,,,,,9.0,,,,Miguel Aracil Carbonell,13-02-2023,,,,,,,,,,,,,,,0.2,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",30-01-2023 13:17,Miguel Aracil Carbonell,7.5,0.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-07-2023,,,,,,6.0,,,Miguel Aracil Carbonell,20-02-2023,,,,,,,,,,,,,,,0.4,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",06-02-2023 11:40,Miguel Aracil Carbonell,7.5,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,22-07-2023,,,,,,,30.3,,Miguel Aracil Carbonell,27-02-2023,,,,,,,,,,,,,,,0.4,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",13-02-2023 13:20,Miguel Aracil Carbonell,7.4,0.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,31-07-2023,,,,,10.0,,,,Miguel Aracil Carbonell,21-06-2023,,,,,,,,,,,,,,,4.0,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",20-02-2023 14:18,Miguel Aracil Carbonell,7.4,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,31-07-2023,,,,,,9.0,,,Miguel Aracil Carbonell,22-06-2023,,,,,,,,,,,,,,,2.0,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",27-02-2023 13:25,Miguel Aracil Carbonell,7.4,0.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,31-07-2023,,,,,,,31.6,,Miguel Aracil Carbonell,26-06-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",21-06-2023 13:11,Miguel Aracil Carbonell,7.8,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,04-09-2023,,,,,7.0,,,,Miguel Aracil Carbonell,29-06-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",22-06-2023 11:44,Miguel Aracil Carbonell,7.6,0.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,04-09-2023,,,,,,,27.8,,Miguel Aracil Carbonell,30-06-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",26-06-2023 15:12,Miguel Aracil Carbonell,7.6,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,18-09-2023,,,,,,,28.1,,Miguel Aracil Carbonell,03-07-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",29-06-2023 11:09,Miguel Aracil Carbonell,7.7,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,18-09-2023,,,,,6.0,,,,Miguel Aracil Carbonell,07-07-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",30-06-2023 13:17,Miguel Aracil Carbonell,7.8,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,20-09-2023,,,,,,,26.7,,Miguel Aracil Carbonell,10-07-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",03-07-2023 12:21,Miguel Aracil Carbonell,7.8,0.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,20-09-2023,,10.0,,,,,,,Miguel Aracil Carbonell,12-07-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",05-07-2023 13:44,Miguel Aracil Carbonell,7.8,0.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,27-09-2023,,,,,0.0,,,,Miguel Aracil Carbonell,19-07-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",07-07-2023 13:09,Miguel Aracil Carbonell,7.8,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,27-09-2023,,,,,,,25.5,,Miguel Aracil Carbonell,21-07-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",10-07-2023 12:27,Miguel Aracil Carbonell,7.5,0.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,16-10-2023,,,,,,,24.0,,Miguel Aracil Carbonell,21-07-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",12-07-2023 12:34,Miguel Aracil Carbonell,7.7,0.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,16-10-2023,,6.0,,,,,,,Miguel Aracil Carbonell,24-07-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",14-07-2023 13:19,Miguel Aracil Carbonell,7.3,0.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,25-07-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",17-07-2023 12:29,Miguel Aracil Carbonell,7.6,0.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,25-07-2023,,,,,,,,,,,,,,,,0.25
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",19-07-2023 11:43,Miguel Aracil Carbonell,7.6,0.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,26-07-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",21-07-2023 12:34,Miguel Aracil Carbonell,7.4,0.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,28-07-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",22-07-2023 08:18,Miguel Aracil Carbonell,7.4,0.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,28-07-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",24-07-2023 12:36,Miguel Aracil Carbonell,7.4,1.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,28-07-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",25-07-2023 15:09,Miguel Aracil Carbonell,7.4,1.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,02-08-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",26-07-2023 16:36,Miguel Aracil Carbonell,7.4,1.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,02-08-2023,,,,,,,,,,,,,,,,0.25
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",28-07-2023 12:08,Miguel Aracil Carbonell,7.3,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,07-08-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",31-07-2023 11:58,Miguel Aracil Carbonell,7.4,1.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,09-08-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",02-08-2023 13:32,Miguel Aracil Carbonell,7.5,0.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,09-08-2023,,,,,,,,,,,,,,,,0.25
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",04-08-2023 13:16,Miguel Aracil Carbonell,7.6,0.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,09-08-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",07-08-2023 12:14,Miguel Aracil Carbonell,7.0,1.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,09-08-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",09-08-2023 14:28,Miguel Aracil Carbonell,7.2,1.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,11-08-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",11-08-2023 13:03,Miguel Aracil Carbonell,7.4,1.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,11-08-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",14-08-2023 12:53,Miguel Aracil Carbonell,7.5,1.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,14-08-2023,,,,19.99,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",15-08-2023 08:02,Miguel Aracil Carbonell,7.6,1.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,15-08-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",16-08-2023 13:50,Miguel Aracil Carbonell,7.1,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,15-08-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",18-08-2023 12:34,Miguel Aracil Carbonell,7.2,0.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,18-08-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",21-08-2023 13:00,Miguel Aracil Carbonell,7.3,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,21-08-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",23-08-2023 14:27,Miguel Aracil Carbonell,7.5,1.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,23-08-2023,,,,,,,,,,,,,,,,0.25
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",25-08-2023 15:59,Miguel Aracil Carbonell,7.6,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,25-08-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",28-08-2023 12:42,Miguel Aracil Carbonell,7.6,0.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,25-08-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",30-08-2023 13:44,Miguel Aracil Carbonell,7.6,0.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,28-08-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",01-09-2023 12:29,Miguel Aracil Carbonell,7.6,0.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,30-08-2023,,,,,,,,,,,,,,,,0.25
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",04-09-2023 14:53,Miguel Aracil Carbonell,7.6,0.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,30-08-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",06-09-2023 13:00,Miguel Aracil Carbonell,7.3,0.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,01-09-2023,,,,20.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",08-09-2023 12:31,Miguel Aracil Carbonell,7.3,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,01-09-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",11-09-2023 13:46,Miguel Aracil Carbonell,7.5,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,06-09-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",13-09-2023 12:17,Miguel Aracil Carbonell,7.5,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,08-09-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",15-09-2023 12:03,Miguel Aracil Carbonell,7.6,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,11-09-2023,,,,40.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",15-09-2023 12:03,Miguel Aracil Carbonell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,15-09-2023,,,2.0,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",18-09-2023 12:01,Miguel Aracil Carbonell,7.5,0.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natalia Martin Garcia,15-09-2023,,,,60.0,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",20-09-2023 11:53,Miguel Aracil Carbonell,7.5,0.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,23-09-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",22-09-2023 11:39,Miguel Aracil Carbonell,7.4,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,27-09-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",25-09-2023 12:02,Miguel Aracil Carbonell,7.5,0.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,29-09-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",27-09-2023 13:28,Miguel Aracil Carbonell,7.6,0.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,29-09-2023,,,,,,,,,0.8,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",29-09-2023 12:35,Miguel Aracil Carbonell,7.3,0.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,02-10-2023,,,,,,,,,0.8,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",02-10-2023 12:32,Miguel Aracil Carbonell,7.4,0.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,02-10-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",06-10-2023 09:42,Miguel Aracil Carbonell,7.4,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,06-10-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",09-10-2023 13:20,Miguel Aracil Carbonell,7.3,0.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,09-10-2023,1.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",16-10-2023 11:37,Miguel Aracil Carbonell,7.3,0.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,09-10-2023,,,,,,,,,0.8,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",23-10-2023 14:53,Miguel Aracil Carbonell,7.4,0.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,16-10-2023,,,,,,,,,0.6,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",03-11-2023 09:13,Jacobo Rato Espuch,7.4,1.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,16-10-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",08-11-2023 11:07,Jacobo Rato Espuch,7.4,1.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,23-10-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",13-11-2023 15:01,Miguel Aracil Carbonell,7.4,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,23-10-2023,,,,,,,,,0.6,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",21-11-2023 10:17,Miguel Aracil Carbonell,7.6,0.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacobo Rato Espuch,08-11-2023,,,,,,,,,1.0,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",28-11-2023 12:43,Miguel Aracil Carbonell,7.6,0.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,13-11-2023,,,,,,,,,0.6,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",04-12-2023 13:30,Miguel Aracil Carbonell,7.5,0.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,13-11-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",12-12-2023 12:25,Miguel Aracil Carbonell,7.4,0.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,21-11-2023,1.0,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",18-12-2023 12:54,Miguel Aracil Carbonell,7.4,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,21-11-2023,,,,,,,,,0.6,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",26-12-2023 13:46,Miguel Aracil Carbonell,7.5,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,28-11-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,04-12-2023,0.5,,,,,,,,,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,12-12-2023,,,,,,,,,0.4,,,,,,,
Nuevo Babel II  (462),"Calle Jose Ramon Pomares,4 Alicante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Aracil Carbonell,12-12-2023,0.5,,,,,,,,,,,,,,,
